192.168.0.160,192.168.0.138,192.168.0.106,192.168.0.161
1.83,1.88,1.91,1.9
1.84,1.88,1.91,1.9
1.84,1.88,1.91,1.9
1.84,1.88,1.91,1.91
1.84,1.88,1.91,1.91
1.84,1.88,1.91,1.91
1.84,1.88,1.92,1.91
1.84,1.88,1.92,1.91
1.84,1.89,1.92,1.91
1.84,1.89,1.92,1.91
1.84,1.89,1.92,1.91
1.84,1.89,1.92,1.91
1.84,1.89,1.92,1.91
1.84,1.89,1.93,1.91
1.84,1.89,1.93,1.91
1.84,1.89,1.93,1.92
1.84,1.89,1.93,1.92
1.84,1.9,1.94,1.92
1.84,1.9,1.94,1.92
1.85,1.9,1.94,1.92
1.85,1.9,1.94,1.93
1.85,1.9,1.94,1.93
1.85,1.9,1.94,1.93
1.85,1.9,1.94,1.93
1.85,1.9,1.94,1.93
1.85,1.9,1.94,1.93
1.85,1.91,1.95,1.93
1.85,1.91,1.95,1.93
1.85,1.92,1.95,1.93
1.86,1.92,1.96,1.93
1.86,1.92,1.96,1.93
1.86,1.92,1.96,1.94
1.86,1.92,1.96,1.94
1.86,1.92,1.96,1.94
1.86,1.92,1.96,1.94
1.87,1.92,1.96,1.94
1.87,1.92,1.97,1.94
1.87,1.92,1.97,1.94
1.87,1.93,1.97,1.94
1.87,1.93,1.97,1.94
1.87,1.93,1.97,1.94
1.87,1.93,1.97,1.95
1.87,1.93,1.97,1.95
1.87,1.93,1.97,1.95
1.87,1.93,1.97,1.96
1.88,1.93,1.98,1.96
1.88,1.93,1.98,1.96
1.88,1.93,1.98,1.96
1.88,1.93,1.98,1.96
1.88,1.93,1.98,1.96
1.88,1.93,1.98,1.96
1.88,1.93,1.99,1.96
1.88,1.93,1.99,1.96
1.88,1.94,2.0,1.97
1.88,1.94,2.0,1.97
1.88,1.94,2.0,1.97
1.88,1.94,2.0,1.97
1.88,1.94,2.01,1.97
1.88,1.94,2.01,1.97
1.88,1.95,2.01,1.97
1.89,1.95,2.01,1.97
1.89,1.95,2.01,1.98
1.89,1.95,2.02,1.98
1.89,1.95,2.02,1.98
1.89,1.96,2.02,1.98
1.89,1.96,2.02,1.98
1.89,1.96,2.02,1.99
1.89,1.96,2.03,1.99
1.9,1.96,2.03,1.99
1.9,1.96,2.03,1.99
1.9,1.96,2.03,1.99
1.9,1.96,2.04,1.99
1.9,1.97,2.04,2.0
1.9,1.97,2.04,2.0
1.9,1.97,2.04,2.0
1.9,1.98,2.04,2.0
1.9,1.98,2.04,2.0
1.9,1.98,2.05,2.0
1.91,1.99,2.05,2.0
1.91,1.99,2.07,2.0
1.91,2.0,2.07,2.0
1.91,2.0,2.07,2.01
1.91,2.0,2.07,2.01
1.91,2.0,2.07,2.01
1.91,2.0,2.08,2.01
1.91,2.0,2.09,2.01
1.91,2.0,2.09,2.01
1.91,2.0,2.09,2.01
1.91,2.01,2.09,2.01
1.91,2.01,2.1,2.01
1.91,2.02,2.1,2.02
1.91,2.02,2.1,2.02
1.92,2.02,2.1,2.02
1.92,2.02,2.1,2.02
1.92,2.03,2.1,2.02
1.92,2.05,2.1,2.03
1.92,2.05,2.11,2.03
1.92,2.05,2.11,2.03
1.92,2.05,2.11,2.03
1.92,2.06,2.11,2.04
1.92,2.06,2.11,2.04
1.92,2.06,2.12,2.04
1.93,2.06,2.12,2.04
1.93,2.06,2.12,2.04
1.93,2.06,2.12,2.04
1.93,2.07,2.12,2.04
1.93,2.07,2.13,2.04
1.93,2.07,2.13,2.04
1.94,2.07,2.13,2.04
1.94,2.08,2.13,2.04
1.94,2.08,2.14,2.04
1.94,2.08,2.14,2.05
1.94,2.08,2.14,2.05
1.94,2.09,2.14,2.05
1.95,2.09,2.14,2.05
1.95,2.09,2.15,2.05
1.95,2.1,2.15,2.05
1.95,2.1,2.15,2.05
1.95,2.1,2.15,2.05
1.95,2.1,2.15,2.05
1.95,2.1,2.15,2.05
1.95,2.1,2.16,2.06
1.95,2.1,2.16,2.06
1.95,2.1,2.16,2.06
1.95,2.12,2.17,2.06
1.96,2.12,2.17,2.06
1.96,2.12,2.17,2.06
1.96,2.12,2.18,2.06
1.96,2.12,2.19,2.06
1.96,2.12,2.19,2.07
1.96,2.13,2.19,2.07
1.97,2.13,2.2,2.07
1.97,2.13,2.2,2.07
1.97,2.14,2.2,2.07
1.97,2.15,2.21,2.07
1.97,2.15,2.21,2.08
1.97,2.15,2.21,2.08
1.98,2.15,2.21,2.08
1.98,2.16,2.22,2.08
1.98,2.16,2.23,2.08
1.98,2.17,2.24,2.08
1.98,2.19,2.26,2.08
1.98,2.2,2.26,2.08
1.98,2.2,2.26,2.08
1.98,2.2,2.27,2.08
1.99,2.2,2.28,2.09
1.99,2.21,2.28,2.09
1.99,2.21,2.28,2.09
1.99,2.22,2.29,2.09
2.0,2.22,2.31,2.09
2.0,2.22,2.31,2.1
2.01,2.23,2.32,2.1
2.01,2.23,2.33,2.1
2.01,2.24,2.33,2.1
2.01,2.24,2.33,2.1
2.02,2.24,2.34,2.1
2.02,2.25,2.34,2.11
2.02,2.26,2.35,2.11
2.02,2.26,2.35,2.11
2.02,2.26,2.35,2.11
2.02,2.26,2.37,2.12
2.02,2.27,2.38,2.12
2.02,2.27,2.39,2.12
2.02,2.27,2.4,2.12
2.03,2.28,2.4,2.12
2.04,2.28,2.41,2.12
2.04,2.28,2.42,2.12
2.04,2.29,2.42,2.13
2.04,2.29,2.42,2.14
2.04,2.29,2.43,2.14
2.05,2.29,2.43,2.14
2.05,2.3,2.44,2.14
2.06,2.32,2.44,2.14
2.06,2.32,2.46,2.14
2.06,2.35,2.49,2.15
2.06,2.35,2.5,2.15
2.07,2.36,2.5,2.15
2.07,2.36,2.5,2.15
2.07,2.37,2.51,2.15
2.07,2.4,2.51,2.15
2.07,2.42,2.52,2.15
2.07,2.42,2.52,2.15
2.08,2.42,2.52,2.15
2.08,2.42,2.53,2.15
2.08,2.43,2.53,2.15
2.08,2.43,2.54,2.15
2.09,2.45,2.55,2.15
2.09,2.45,2.55,2.15
2.09,2.45,2.55,2.16
2.09,2.46,2.55,2.16
2.09,2.46,2.55,2.16
2.1,2.47,2.56,2.16
2.1,2.47,2.57,2.17
2.1,2.47,2.57,2.17
2.11,2.47,2.57,2.17
2.11,2.48,2.57,2.17
2.12,2.48,2.57,2.18
2.12,2.48,2.58,2.18
2.12,2.49,2.58,2.18
2.12,2.5,2.59,2.18
2.12,2.5,2.59,2.18
2.14,2.51,2.59,2.18
2.15,2.51,2.59,2.18
2.15,2.51,2.6,2.18
2.15,2.53,2.6,2.18
2.16,2.53,2.61,2.19
2.16,2.53,2.61,2.19
2.16,2.53,2.62,2.2
2.17,2.53,2.63,2.2
2.17,2.54,2.63,2.2
2.17,2.54,2.64,2.2
2.17,2.54,2.64,2.21
2.17,2.54,2.65,2.21
2.18,2.55,2.65,2.21
2.18,2.56,2.66,2.22
2.18,2.56,2.66,2.22
2.18,2.57,2.66,2.22
2.19,2.57,2.67,2.22
2.19,2.57,2.68,2.22
2.19,2.57,2.69,2.22
2.2,2.58,2.7,2.22
2.2,2.58,2.7,2.22
2.2,2.58,2.71,2.22
2.2,2.58,2.71,2.23
2.21,2.59,2.71,2.23
2.23,2.6,2.71,2.23
2.23,2.61,2.71,2.24
2.23,2.61,2.72,2.24
2.23,2.62,2.72,2.24
2.24,2.62,2.73,2.24
2.24,2.62,2.73,2.25
2.25,2.62,2.73,2.25
2.25,2.63,2.73,2.25
2.25,2.63,2.73,2.25
2.25,2.63,2.73,2.25
2.26,2.65,2.74,2.25
2.26,2.65,2.74,2.25
2.27,2.65,2.75,2.25
2.27,2.66,2.75,2.26
2.29,2.67,2.76,2.26
2.29,2.68,2.76,2.26
2.3,2.68,2.76,2.26
2.3,2.68,2.76,2.26
2.31,2.68,2.76,2.27
2.31,2.69,2.76,2.27
2.33,2.69,2.76,2.27
2.34,2.69,2.76,2.27
2.34,2.69,2.76,2.27
2.34,2.69,2.77,2.27
2.35,2.7,2.77,2.28
2.35,2.7,2.77,2.28
2.35,2.7,2.77,2.28
2.37,2.7,2.78,2.28
2.37,2.71,2.78,2.28
2.38,2.71,2.78,2.28
2.38,2.71,2.78,2.29
2.4,2.71,2.79,2.29
2.41,2.72,2.79,2.29
2.43,2.72,2.79,2.29
2.43,2.72,2.79,2.29
2.43,2.72,2.8,2.3
2.48,2.73,2.8,2.3
2.48,2.73,2.81,2.3
2.5,2.73,2.81,2.3
2.51,2.73,2.81,2.31
2.52,2.73,2.81,2.31
2.52,2.74,2.81,2.31
2.52,2.74,2.82,2.31
2.53,2.74,2.82,2.32
2.54,2.74,2.82,2.33
2.54,2.74,2.82,2.33
2.55,2.75,2.82,2.33
2.55,2.75,2.82,2.33
2.57,2.75,2.82,2.34
2.57,2.75,2.82,2.34
2.58,2.76,2.83,2.34
2.6,2.76,2.83,2.35
2.6,2.77,2.83,2.35
2.61,2.77,2.83,2.35
2.62,2.77,2.83,2.36
2.63,2.77,2.83,2.36
2.64,2.77,2.83,2.36
2.65,2.77,2.83,2.36
2.66,2.77,2.83,2.36
2.67,2.78,2.83,2.37
2.67,2.78,2.84,2.37
2.68,2.78,2.84,2.37
2.68,2.78,2.84,2.38
2.69,2.78,2.84,2.38
2.69,2.78,2.84,2.38
2.7,2.78,2.84,2.39
2.7,2.78,2.84,2.39
2.7,2.78,2.84,2.4
2.71,2.78,2.84,2.4
2.71,2.78,2.84,2.4
2.71,2.78,2.85,2.4
2.71,2.79,2.85,2.4
2.72,2.79,2.85,2.41
2.72,2.79,2.85,2.41
2.72,2.8,2.85,2.41
2.73,2.8,2.85,2.41
2.74,2.8,2.85,2.41
2.74,2.8,2.85,2.41
2.75,2.81,2.85,2.41
2.75,2.81,2.85,2.42
2.75,2.81,2.86,2.42
2.75,2.81,2.86,2.42
2.76,2.82,2.86,2.44
2.76,2.82,2.86,2.45
2.76,2.82,2.86,2.45
2.76,2.82,2.86,2.45
2.76,2.82,2.86,2.45
2.76,2.82,2.86,2.46
2.77,2.82,2.86,2.47
2.77,2.82,2.87,2.47
2.77,2.82,2.87,2.47
2.77,2.82,2.87,2.49
2.77,2.82,2.87,2.5
2.78,2.82,2.87,2.5
2.78,2.82,2.87,2.5
2.79,2.82,2.87,2.5
2.79,2.83,2.87,2.51
2.79,2.83,2.87,2.52
2.79,2.84,2.87,2.53
2.79,2.84,2.87,2.53
2.8,2.84,2.88,2.53
2.8,2.84,2.88,2.53
2.8,2.84,2.88,2.53
2.8,2.84,2.88,2.53
2.81,2.84,2.88,2.53
2.81,2.84,2.88,2.53
2.81,2.84,2.88,2.54
2.81,2.84,2.88,2.54
2.81,2.84,2.88,2.55
2.81,2.84,2.88,2.55
2.81,2.85,2.88,2.55
2.81,2.85,2.88,2.56
2.81,2.85,2.89,2.56
2.82,2.85,2.89,2.56
2.82,2.85,2.89,2.56
2.82,2.85,2.89,2.56
2.82,2.85,2.89,2.57
2.82,2.85,2.9,2.57
2.82,2.85,2.9,2.58
2.82,2.85,2.9,2.58
2.82,2.85,2.9,2.58
2.82,2.86,2.9,2.59
2.82,2.86,2.9,2.59
2.83,2.86,2.9,2.59
2.83,2.86,2.91,2.59
2.83,2.86,2.91,2.6
2.83,2.86,2.91,2.6
2.83,2.87,2.91,2.61
2.83,2.87,2.92,2.61
2.83,2.87,2.92,2.61
2.83,2.88,2.92,2.62
2.83,2.88,2.92,2.62
2.83,2.88,2.93,2.63
2.84,2.88,2.93,2.63
2.84,2.88,2.93,2.64
2.84,2.89,2.93,2.64
2.84,2.89,2.93,2.64
2.85,2.89,2.93,2.65
2.85,2.89,2.93,2.65
2.85,2.89,2.93,2.66
2.85,2.89,2.93,2.66
2.85,2.9,2.94,2.67
2.85,2.9,2.94,2.67
2.85,2.9,2.94,2.68
2.85,2.91,2.94,2.68
2.86,2.91,2.94,2.68
2.86,2.92,2.95,2.68
2.86,2.92,2.95,2.68
2.86,2.92,2.95,2.68
2.86,2.92,2.95,2.69
2.86,2.92,2.95,2.7
2.86,2.93,2.95,2.7
2.86,2.93,2.96,2.71
2.87,2.93,2.96,2.71
2.87,2.93,2.96,2.72
2.87,2.93,2.96,2.72
2.87,2.93,2.96,2.72
2.87,2.94,2.96,2.72
2.87,2.94,2.97,2.72
2.87,2.94,2.98,2.72
2.87,2.95,2.98,2.73
2.87,2.96,2.98,2.73
2.88,2.96,2.98,2.73
2.88,2.96,3.0,2.74
2.88,2.96,3.0,2.75
2.88,2.96,3.0,2.75
2.88,2.97,3.01,2.75
2.88,2.97,3.01,2.75
2.88,2.97,3.01,2.75
2.88,2.97,3.01,2.76
2.88,2.98,3.01,2.76
2.88,2.98,3.01,2.76
2.88,2.98,3.02,2.77
2.88,2.99,3.02,2.77
2.88,2.99,3.02,2.78
2.88,2.99,3.02,2.78
2.88,3.02,3.03,2.79
2.89,3.02,3.03,2.79
2.89,3.03,3.04,2.79
2.9,3.03,3.04,2.79
2.9,3.04,3.04,2.8
2.9,3.04,3.04,2.8
2.91,3.05,3.05,2.8
2.91,3.05,3.06,2.8
2.91,3.05,3.06,2.8
2.91,3.06,3.06,2.81
2.91,3.06,3.07,2.82
2.92,3.08,3.07,2.82
2.92,3.08,3.07,2.82
2.92,3.08,3.08,2.82
2.92,3.09,3.08,2.83
2.92,3.09,3.08,2.83
2.93,3.1,3.08,2.83
2.93,3.1,3.08,2.84
2.93,3.1,3.08,2.84
2.93,3.11,3.09,2.84
2.93,3.12,3.1,2.84
2.93,3.12,3.1,2.85
2.93,3.13,3.1,2.86
2.93,3.13,3.1,2.86
2.93,3.13,3.1,2.86
2.94,3.13,3.11,2.86
2.94,3.13,3.12,2.86
2.94,3.14,3.13,2.86
2.94,3.14,3.13,2.87
2.94,3.14,3.13,2.87
2.94,3.14,3.13,2.88
2.95,3.14,3.13,2.88
2.95,3.15,3.13,2.89
2.96,3.15,3.13,2.89
2.96,3.16,3.13,2.9
2.96,3.17,3.14,2.9
2.96,3.18,3.14,2.9
2.96,3.18,3.14,2.91
2.98,3.19,3.15,2.91
2.98,3.19,3.15,2.92
2.98,3.19,3.16,2.92
2.98,3.19,3.16,2.92
3.0,3.2,3.17,2.93
3.0,3.21,3.17,2.93
3.01,3.21,3.17,2.93
3.01,3.21,3.17,2.93
3.01,3.22,3.18,2.93
3.02,3.22,3.18,2.93
3.02,3.22,3.18,2.94
3.03,3.22,3.19,2.95
3.03,3.22,3.2,2.95
3.03,3.22,3.21,2.95
3.03,3.22,3.21,2.96
3.04,3.23,3.21,2.96
3.04,3.23,3.21,2.96
3.04,3.23,3.22,2.98
3.05,3.23,3.22,2.98
3.06,3.23,3.23,2.99
3.07,3.24,3.23,3.0
3.07,3.24,3.23,3.01
3.07,3.24,3.23,3.02
3.07,3.24,3.23,3.02
3.07,3.24,3.24,3.02
3.08,3.24,3.24,3.04
3.08,3.24,3.24,3.04
3.08,3.25,3.24,3.04
3.08,3.25,3.25,3.05
3.09,3.25,3.25,3.05
3.09,3.25,3.25,3.05
3.09,3.25,3.25,3.06
3.09,3.26,3.25,3.06
3.09,3.26,3.26,3.06
3.09,3.26,3.26,3.08
3.09,3.26,3.26,3.09
3.1,3.27,3.26,3.09
3.1,3.27,3.28,3.09
3.1,3.28,3.28,3.12
3.1,3.28,3.28,3.13
3.11,3.28,3.28,3.13
3.11,3.29,3.28,3.13
3.12,3.29,3.28,3.13
3.13,3.29,3.29,3.14
3.13,3.3,3.29,3.15
3.13,3.3,3.29,3.15
3.14,3.3,3.29,3.15
3.14,3.3,3.3,3.15
3.14,3.33,3.3,3.16
3.15,3.34,3.3,3.16
3.15,3.34,3.3,3.16
3.15,3.35,3.31,3.18
3.15,3.35,3.31,3.18
3.15,3.36,3.32,3.19
3.16,3.37,3.32,3.19
3.16,3.37,3.32,3.19
3.17,3.38,3.32,3.19
3.19,3.38,3.33,3.2
3.19,3.38,3.33,3.2
3.19,3.39,3.33,3.21
3.2,3.39,3.33,3.21
3.21,3.4,3.34,3.22
3.21,3.4,3.35,3.23
3.21,3.41,3.35,3.23
3.22,3.42,3.36,3.24
3.22,3.43,3.36,3.24
3.22,3.43,3.36,3.29
3.22,3.43,3.36,3.32
3.22,3.43,3.36,3.32
3.22,3.44,3.37,3.32
3.23,3.45,3.37,3.32
3.23,3.47,3.38,3.33
3.23,3.47,3.38,3.33
3.23,3.47,3.39,3.33
3.23,3.49,3.39,3.34
3.24,3.5,3.39,3.34
3.24,3.5,3.39,3.34
3.24,3.51,3.39,3.37
3.25,3.51,3.4,3.42
3.25,3.52,3.4,3.43
3.25,3.52,3.41,3.43
3.25,3.52,3.41,3.43
3.26,3.52,3.42,3.45
3.26,3.52,3.42,3.46
3.27,3.53,3.42,3.46
3.27,3.54,3.42,3.46
3.28,3.55,3.43,3.46
3.28,3.55,3.43,3.46
3.29,3.55,3.44,3.47
3.29,3.56,3.44,3.47
3.29,3.57,3.44,3.48
3.29,3.57,3.44,3.5
3.3,3.57,3.45,3.52
3.3,3.58,3.45,3.53
3.3,3.58,3.45,3.55
3.3,3.58,3.46,3.55
3.31,3.58,3.46,3.57
3.31,3.59,3.47,3.57
3.32,3.59,3.48,3.61
3.32,3.59,3.48,3.63
3.32,3.59,3.48,3.63
3.33,3.6,3.48,3.64
3.33,3.6,3.48,3.64
3.33,3.6,3.49,3.65
3.33,3.6,3.49,3.66
3.34,3.6,3.49,3.66
3.35,3.6,3.49,3.68
3.35,3.6,3.5,3.69
3.35,3.61,3.51,3.7
3.35,3.62,3.51,3.71
3.36,3.63,3.52,3.72
3.36,3.64,3.52,3.76
3.36,3.65,3.53,3.79
3.37,3.65,3.53,3.82
3.38,3.65,3.53,3.83
3.39,3.66,3.54,3.85
3.39,3.67,3.54,3.87
3.4,3.68,3.54,3.88
3.4,3.68,3.56,3.92
3.4,3.72,3.57,3.93
3.4,3.74,3.58,3.93
3.4,3.75,3.58,3.94
3.41,3.76,3.59,3.96
3.43,3.77,3.6,3.97
3.43,3.77,3.6,4.0
3.43,3.78,3.61,4.01
3.43,3.8,3.63,4.02
3.43,3.81,3.64,4.05
3.43,3.81,3.66,4.07
3.44,3.82,3.66,4.08
3.45,3.82,3.66,4.11
3.46,3.82,3.67,4.13
3.46,3.82,3.67,4.13
3.48,3.83,3.68,4.15
3.49,3.84,3.69,4.15
3.49,3.85,3.7,4.15
3.49,3.85,3.71,4.16
3.49,3.86,3.71,4.17
3.5,3.87,3.71,4.18
3.5,3.87,3.72,4.25
3.51,3.87,3.73,4.27
3.51,3.87,3.74,4.27
3.51,3.88,3.74,4.27
3.51,3.88,3.76,4.3
3.52,3.89,3.76,4.31
3.52,3.89,3.79,4.4
3.53,3.9,3.79,4.41
3.53,3.9,3.8,4.45
3.54,3.92,3.8,4.47
3.55,3.92,3.81,4.47
3.56,3.95,3.81,4.49
3.57,3.99,3.82,4.51
3.57,3.99,3.82,4.53
3.58,4.0,3.83,4.57
3.63,4.01,3.83,4.57
3.66,4.01,3.84,4.58
3.66,4.03,3.84,4.6
3.72,4.06,3.85,4.65
3.75,4.09,3.86,4.65
3.76,4.1,3.88,4.65
3.77,4.11,3.88,4.66
3.77,4.11,3.92,4.72
3.78,4.14,3.93,4.73
3.78,4.17,3.94,4.81
3.95,4.17,3.95,4.85
4.05,4.18,3.97,4.86
4.06,4.18,3.99,4.86
4.07,4.19,4.03,4.89
4.08,4.19,4.03,4.89
4.09,4.2,4.04,4.9
4.12,4.23,4.08,4.91
4.2,4.27,4.12,4.93
4.21,4.28,4.12,4.95
4.22,4.29,4.12,4.99
4.28,4.3,4.13,5.02
4.3,4.32,4.13,5.03
4.31,4.32,4.14,5.1
4.33,4.32,4.14,5.17
4.36,4.35,4.14,5.23
4.37,4.38,4.2,5.23
4.43,4.4,4.22,5.28
4.5,4.48,4.23,5.3
4.57,4.49,4.24,5.37
4.6,4.49,4.25,5.39
4.62,4.5,4.25,5.45
4.66,4.57,4.26,5.48
4.67,4.58,4.27,5.5
4.67,4.6,4.27,5.5
4.8,4.69,4.3,5.55
4.83,4.69,4.31,5.56
4.86,4.7,4.32,5.57
4.93,4.74,4.33,5.59
4.94,4.74,4.37,5.6
5.03,4.78,4.4,5.64
5.03,4.86,4.41,5.69
5.06,4.87,4.41,5.71
5.06,4.93,4.42,5.75
5.12,4.95,4.42,5.76
5.13,4.97,4.5,5.77
5.27,4.99,4.51,5.81
5.31,5.0,4.52,5.83
